date,text,rating,translated_text
2022-07-02,"Udah coba berlangganan, status ga berubah saldo dana ttp kepotong",1,"Udah coba berlangganan, status ga berubah saldo dana ttp kepotong"
2022-12-25,"Adain terus ya kerjasamanya sama telkomsel, apalagi kalo ada promo paket pake telkomsel poin",5,"Adain terus ya kerjasamanya sama telkomsel, apalagi kalo ada promo paket pake telkomsel poin"
2020-11-21,"Haraganya bisa dikatakan sangat murah, banyak film yg didub, dan lain-lain. And for the suggestion, UI-nya agak diperbaiki agar nyaman dan fleksibel saat dipakai dan perbanyak film/series di aplikasi terutama dari original seriesnya.",5,"Haraganya bisa dikatakan sangat murah, banyak film yg didub, dan lain-lain. And for the suggestion, UI-nya agak diperbaiki agar nyaman dan fleksibel saat dipakai dan perbanyak film/series di aplikasi terutama dari original seriesnya."
2020-12-25,"Perfect!
Sesuai janji kasih bintang 5 klo bisa di Apple TV and no ads.
Thank you.",5,"Perfect!
Sesuai janji kasih bintang 5 klo bisa di Apple TV and no ads.
Thank you."
2022-01-16,i did not get OTP code or a call. i can enjoy disney hotstar only from website.,1,saya tidak mendapatkan kode OTP atau panggilan. saya dapat menikmati Disney Hotstar hanya dari situs web.
2022-06-03,"I didn’t press the button to connect to airplay but it keeps trying to do that!! Also please, you don’t need to ask me about mature and sensitive warning and make me have to click Continue every episode!! So annoying",2,"Saya tidak menekan tombol untuk menyambung ke pemutaran tetapi terus mencoba melakukan itu!! Tolong juga, Anda tidak perlu bertanya kepada saya tentang peringatan yang dewasa dan sensitif dan membuat saya harus mengklik Lanjutkan setiap episode!! Sangat menjengkelkan"
2022-07-15,I dont even get any verification code for multiple times,5,Saya bahkan tidak mendapatkan kode verifikasi apa pun beberapa kali
2022-08-20,Kayak titit,1,Kayak titit
2020-09-06,"Please make a support for chromecast so our family can watch in TV, this is not comfortable when we as family watching in smaller screen mobile devices",1,"Mohon dukungan chromecast agar keluarga kita bisa menonton di TV, hal ini tidak nyaman jika kita sekeluarga menonton di perangkat seluler dengan layar yang lebih kecil"
2022-11-28,Thanks udah fasilitasi saya nntn Criminal Minds Evolution. Jaya jaya jaya utk Disney+hotstar,5,Thanks udah fasilitasi saya nntn Criminal Minds Evolution. Jaya jaya jaya utk Disney+hotstar
2022-12-14,Tolong jangan di kasih limit download dong,2,Tolong jangan di kasih limit download dong
2022-08-12,"pas donlot stuck di 0% naik ampe 1-2 % doang, kuota ud kesedot lebih dr 1gb, jelek",1,"pas donlot stuck di 0% naik ampe 1-2 % doang, kuota ud kesedot lebih dr 1gb, jelek"
2022-01-22,i cant login. I waited for the text message verification code and a phone but I didn’t get any,1,saya tidak bisa masuk. Saya menunggu kode verifikasi pesan teks dan telepon tetapi saya tidak mendapatkannya
2022-01-08,Download always error if I’m using mobile internet,1,Pengunduhan selalu error jika saya menggunakan internet seluler
2022-12-30,Gak update .. nyesal berlangganan,1,Gak update .. nyesal berlangganan
2022-02-11,Cuma kurang dark mode aja sih,4,Itu hanya tidak memiliki mode gelap
2020-09-06,"Gabisa screen mirroring, gabisa colok kabel hdmi, ga bisa ntn di TV / layar lebih gede. 

Sort this out lah, uda telat masuk indonya, masa fitur appnya culun gini.",1,"Gabisa screen mirroring, gabisa colok kabel hdmi, ga bisa ntn di TV / layar lebih gede. 

Sort this out lah, uda telat masuk indonya, masa fitur appnya culun gini."
